Asset,Month,Dividend_Per_Share,Income_on_100k_Initial_Investment
JBND,2017-03,0.13341492205159727,226.87608999523243
JBND,2017-04,0.1488089515190893,253.05410037929775
JBND,2017-05,0.13341492205159727,226.87608999523243
JBND,2017-06,0.13341492205159727,226.87608999523243
JBND,2017-07,0.13341492205159727,226.87608999523243
JBND,2017-08,0.12828357889576664,218.15008653387738
JBND,2017-09,0.13341492205159727,226.87608999523243
JBND,2017-10,0.13341492205159727,226.87608999523243
JBND,2017-11,0.13341492205159727,226.87608999523243
JBND,2017-12,0.27709253041485593,471.20418691317514
JBND,2018-01,0.1180208925841053,200.69807961116717
JBND,2018-02,0.12315223573993596,209.42408307252228
JBND,2018-03,0.13341492205159727,226.87608999523243
JBND,2018-04,0.15394029467491996,261.7801038406528
JBND,2018-05,0.13341492205159727,226.87608999523243
JBND,2018-06,0.13341492205159727,226.87608999523243
JBND,2018-07,0.13341492205159727,226.87608999523243
JBND,2018-08,0.13341492205159727,226.87608999523243
JBND,2018-09,0.13854626520742797,235.60209345658757
JBND,2018-10,0.13854626520742797,235.60209345658757
JBND,2018-11,0.13854626520742797,235.60209345658757
JBND,2018-12,0.20012238307739594,340.3141349928487
JBND,2019-01,0.12828357889576664,218.15008653387738
JBND,2019-02,0.12828357889576664,218.15008653387738
JBND,2019-03,0.13854626520742797,235.60209345658757
JBND,2019-04,0.1642029809865813,279.23211076336304
JBND,2019-05,0.14367760836325863,244.32809691794267
JBND,2019-06,0.14367760836325863,244.32809691794267
JBND,2019-07,0.13854626520742797,235.60209345658757
JBND,2019-08,0.13854626520742797,235.60209345658757
JBND,2019-09,0.13854626520742797,235.60209345658757
JBND,2019-10,0.13854626520742797,235.60209345658757
JBND,2019-11,0.13854626520742797,235.60209345658757
JBND,2019-12,0.4259014819339452,724.2582872924729
JBND,2020-01,0.12315223573993596,209.42408307252228
JBND,2020-02,0.12315223573993596,209.42408307252228
JBND,2020-03,0.13341492205159727,226.87608999523243
JBND,2020-04,0.14367760836325863,244.32809691794267
JBND,2020-05,0.12828357889576664,218.15008653387738
JBND,2020-06,0.12828357889576664,218.15008653387738
JBND,2020-07,0.12315223573993596,209.42408307252228
JBND,2020-08,0.1180208925841053,200.69807961116717
JBND,2020-09,0.11288954942827463,191.97207614981207
JBND,2020-10,0.12315223573993596,209.42408307252228
JBND,2020-11,0.11288954942827463,191.97207614981207
JBND,2020-12,1.1545522100618997,1963.3507788048964
JBND,2021-01,0.09749551996078264,165.7940657657468
JBND,2021-02,0.1026268631166133,174.52006922710189
JBND,2021-03,0.10775820627244397,183.246072688457
JBND,2021-04,0.12315223573993596,209.42408307252228
JBND,2021-05,0.10775820627244397,183.246072688457
JBND,2021-06,0.10775820627244397,183.246072688457
JBND,2021-07,0.1026268631166133,174.52006922710189
JBND,2021-08,0.10775820627244397,183.246072688457
JBND,2021-09,0.1026268631166133,174.52006922710189
JBND,2021-10,0.09749551996078264,165.7940657657468
JBND,2021-11,0.09749551996078264,165.7940657657468
JBND,2021-12,0.5490537176738811,933.6823703649951
JBND,2022-01,0.09236417680495196,157.06806230439167
JBND,2022-02,0.08210149049329064,139.61605538168152
JBND,2022-03,0.09749551996078264,165.7940657657468
JBND,2022-04,0.1180208925841053,200.69807961116717
JBND,2022-05,0.10775820627244397,183.246072688457
JBND,2022-06,0.11288954942827463,191.97207614981207
JBND,2022-07,0.1180208925841053,200.69807961116717
JBND,2022-08,0.13341492205159727,226.87608999523243
JBND,2022-09,0.12828357889576664,218.15008653387738
JBND,2022-10,0.12315223573993596,209.42408307252228
JBND,2022-11,0.13854626520742797,235.60209345658757
JBND,2022-12,0.13854626520742794,235.60209345658754
JBND,2023-01,0.13854626520742797,235.60209345658757
JBND,2023-02,0.13854626520742797,235.60209345658757
